date,off,course,horse,num,score_win,score_place,score_win_cal,score_place_cal,gate_proba,gate_pass,gate_top_horse
2026-06-05,4:00,Epsom,a la prochaine,1,0.06277356239266489,0.17037767104185156,0.07818226108448721,0.23109008559913466,0.4888709868315809,False,legacy link
2026-06-05,4:00,Epsom,sugar island,7,0.024421131695798542,0.11178870958904648,0.029794463162260476,0.15748238663649808,0.4888709868315809,False,legacy link
2026-06-05,4:00,Epsom,k sarra,4,0.02789888857810493,0.10087188546770395,0.03415566134814849,0.1432448172500726,0.4888709868315809,False,legacy link
2026-06-05,4:00,Epsom,amelia earhart,2,0.04987877966564998,0.20888859934172624,0.06187590627267089,0.27719627382666717,0.4888709868315809,False,legacy link
2026-06-05,4:00,Epsom,cameo,3,0.01968957831596511,0.10893422934021549,0.02388166127994338,0.15377678548523313,0.4888709868315809,False,legacy link
2026-06-05,4:00,Epsom,venetian lace,9,0.06591155896218039,0.20662527449865276,0.08214959458083654,0.2745319779179055,0.4888709868315809,False,legacy link
2026-06-05,4:10,Thirsk,wave power,4,0.06294408204089696,0.20629162802747567,0.07839787026673245,0.2741387581443374,0.49185794912874703,False,king of berkshire
2026-06-05,4:10,Thirsk,rumbustious,3,0.05441400886789623,0.2908547037774207,0.06761068039645898,0.3702229329827535,0.49185794912874703,False,king of berkshire
2026-06-05,4:10,Thirsk,fareenar,6,0.03487217271831143,0.1475228924923013,0.04292787325070892,0.2029067408780123,0.49185794912874703,False,king of berkshire
2026-06-05,4:10,Thirsk,forever perfect,5,0.11418832921683061,0.2768260621586901,0.14289042503187754,0.35475384531086396,0.49185794912874703,False,king of berkshire
2026-06-05,4:10,Thirsk,myrrh,2,0.06380274112751853,0.3019323318158636,0.07948354286714528,0.3823146252661967,0.49185794912874703,False,king of berkshire
2026-06-05,4:10,Thirsk,king of berkshire,1,0.18970613282496127,0.4422739929689064,0.2358551848468399,0.5270242324694306,0.49185794912874703,False,king of berkshire
2026-06-05,4:15,Musselburgh,lions house,6,0.04191434259845716,0.15873882780256138,0.05181171520882382,0.216817939068386,0.5104765428440534,False,woohoo
2026-06-05,4:15,Musselburgh,little mi mi,8,0.06416443990767777,0.2423425874696508,0.07994084851124857,0.3159553415716736,0.5104765428440534,False,woohoo
2026-06-05,4:15,Musselburgh,tiva,1,0.051102304885055835,0.2147487718915366,0.0634228880906188,0.2840693021929164,0.5104765428440534,False,woohoo
2026-06-05,4:15,Musselburgh,woohoo,7,0.07344640436045502,0.18446435144360504,0.0916706177600893,0.24814927871484632,0.5104765428440534,False,woohoo
2026-06-05,4:15,Musselburgh,miss brazen,5,0.03324402693621781,0.1636579534771638,0.04087703668355643,0.22287000932684964,0.5104765428440534,False,woohoo
2026-06-05,4:15,Musselburgh,curious rover,4,0.04736034646123808,0.1789429195911907,0.0586922579744204,0.24149019242992079,0.5104765428440534,False,woohoo
2026-06-05,4:15,Musselburgh,im next,3,0.05482684871663658,0.23769333803947743,0.06813277354401007,0.31063675282091086,0.5104765428440534,False,woohoo
2026-06-05,4:15,Musselburgh,right and exact,2,0.053915842918833244,0.22812990222224624,0.0669806887775799,0.299628611709221,0.5104765428440534,False,woohoo
2026-06-05,4:20,Fairyhouse,blitogue,2,0.03579438521129942,0.19111632327568692,0.04409010271546979,0.25612575006715793,0.7691703858937389,True,dancing destiny
2026-06-05,4:20,Fairyhouse,dancing destiny,3,0.13184643057633857,0.5045846540776568,0.16488996758038146,0.5868479253303124,0.7691703858937389,True,dancing destiny
2026-06-05,4:20,Fairyhouse,mudyrk,5,0.036447346728052415,0.2006545444359867,0.044913246815137566,0.26747699195937125,0.7691703858937389,True,dancing destiny
2026-06-05,4:20,Fairyhouse,florida bay,4,0.03095217339209637,0.177426847083031,0.037992743551871176,0.23965559123851887,0.7691703858937389,True,dancing destiny
2026-06-05,4:20,Fairyhouse,always magic,1,0.032405237687838095,0.13678416379779768,0.03982105458907253,0.18943704246231838,0.7691703858937389,True,dancing destiny
2026-06-05,4:20,Fairyhouse,my antonio,6,0.02713768484663823,0.09797098531340863,0.03320016920442182,0.13943108120490733,0.7691703858937389,True,dancing destiny
2026-06-05,4:20,Fairyhouse,telegraph road,7,0.023547386772393746,0.1493872558631813,0.02870060703291831,0.20523008713769877,0.7691703858937389,True,dancing destiny
2026-06-05,4:20,Fairyhouse,tina tereshkova,9,0.023019376119766687,0.08580018329641544,0.028039982105319015,0.12328514545989742,0.7691703858937389,True,dancing destiny
2026-06-05,4:20,Fairyhouse,apollos comet,8,0.03256110090278527,0.13513900229402326,0.04001724552018635,0.18736014967306205,0.7691703858937389,True,dancing destiny
2026-06-05,4:40,Epsom,celeborn,12,0.028435466471665696,0.12400787836032275,0.03482947785061414,0.17321207007809641,0.3836931938661487,False,man of la mancha
2026-06-05,4:40,Epsom,nizam,6,0.01893464076017175,0.07179055809270682,0.02294096739444056,0.10439315528225734,0.3836931938661487,False,man of la mancha
2026-06-05,4:40,Epsom,thunder roar,4,0.019452238841961792,0.10420618658289901,0.0235858326009331,0.14761236753048565,0.3836931938661487,False,man of la mancha
2026-06-05,4:40,Epsom,hot cash,16,0.012599879884908932,0.07473945915513536,0.015087493167327774,0.10839831011100212,0.3836931938661487,False,man of la mancha
2026-06-05,4:40,Epsom,ozat,1,0.02052517767332678,0.08213287159515303,0.024923818737871688,0.11837246908786697,0.3836931938661487,False,man of la mancha
2026-06-05,4:40,Epsom,principality,10,0.02428992366760627,0.12560703293629893,0.02963015040471687,0.1752550768702489,0.3836931938661487,False,man of la mancha
2026-06-05,4:40,Epsom,mirsky,5,0.026578101372207553,0.13903209292685656,0.0324980722069307,0.1922690923473467,0.3836931938661487,False,man of la mancha
2026-06-05,4:40,Epsom,bragbor,13,0.03501133412699084,0.13214732165476997,0.04310322661272652,0.18357412039231266,0.3836931938661487,False,man of la mancha
2026-06-05,4:40,Epsom,walsingham,14,0.01876634402580639,0.08946391680012739,0.022731376937506383,0.12817068385760047,0.3836931938661487,False,man of la mancha
2026-06-05,4:40,Epsom,popmaster,2,0.020016132833467228,0.0755652649913998,0.02428882305882928,0.10951711776002489,0.3836931938661487,False,man of la mancha
2026-06-05,4:40,Epsom,jimmy speaking,17,0.02156037544259248,0.09829466412060138,0.026216219089962828,0.13985725990110234,0.3836931938661487,False,man of la mancha
2026-06-05,4:40,Epsom,mister winston,3,0.041951195019128154,0.17422642124751012,0.05185825094027324,0.23577396262463884,0.3836931938661487,False,man of la mancha
2026-06-05,4:40,Epsom,stem,11,0.03831972848364227,0.12564564046189666,0.04727465018690115,0.17530435632731428,0.3836931938661487,False,man of la mancha
2026-06-05,4:40,Epsom,mr swivell,7,0.03153657964094267,0.08765193791559395,0.03872791066492089,0.12575719703027075,0.3836931938661487,False,man of la mancha
2026-06-05,4:40,Epsom,man of la mancha,9,0.04916269336687835,0.1663872403688002,0.06097058825568938,0.22621521697055802,0.3836931938661487,False,man of la mancha
2026-06-05,4:40,Epsom,sterling knight,8,0.017127119862853833,0.08623563473086365,0.020692322082394028,0.12386697430575103,0.3836931938661487,False,man of la mancha
2026-06-05,4:40,Epsom,final night,18,0.024336157138877625,0.07542238377771905,0.02968804688636543,0.10932362789401225,0.3836931938661487,False,man of la mancha
